river_name,n_days,avg_speed_ms,std_speed_ms,min_speed_ms,max_speed_ms,country,latitude,longitude
Licungo,6,0.066,0.0752,0.0086,0.2154,Mozambique,-19.698,41.8231
Ligonha,6,0.035,0.0122,0.0136,0.046,Mozambique,-17.0361,41.6086
Limay,12,0.0224,0.0084,0.0112,0.0347,Argentina,-47.8882,-77.1586
Limpopo,6,0.1226,0.0601,0.0524,0.2031,Mozambique,-28.8108,37.3245
Liu,6,0.1438,0.0285,0.1078,0.1892,China,27.1138,121.9266
Loire,6,0.0541,0.0354,0.0186,0.1154,France,55.6425,4.665
Lotta,12,0.0026,0.0009,0.0014,0.0042,Russia,90.0,33.9978
Lower Tunguska,6,0.002,0.0015,0.0,0.004,Russia,90.0,97.9179
Luirojoki,6,0.0029,0.0012,0.0014,0.0042,Finland,90.0,30.8834
Lule lv,6,0.0029,0.0011,0.0014,0.0042,Sweden,90.0,24.2278
Luwegu,6,0.061,0.0325,0.0198,0.099,United Republic of Tanzania,-10.0942,41.4911
Luza,6,0.0023,0.001,0.001,0.0036,Russia,85.3015,51.5755
Lúrio,6,0.0022,0.001,0.001,0.0036,Mozambique,-15.0815,45.1144
Maas,12,0.0164,0.008,0.0051,0.0306,France,67.1854,5.6982
Macintyre,6,0.0213,0.0182,0.003,0.0431,Australia,-33.1068,167.499
Mackenzie,18,0.0098,0.0079,0.002,0.0314,Australia,-28.9909,165.7034
Macquarie,18,0.0119,0.0094,0.003,0.0422,Australia,-38.6003,166.1378
Mae Klong,12,0.0329,0.017,0.0102,0.0676,Thailand,16.8315,110.2499
Magdalena,6,0.0586,0.0214,0.0312,0.096,Colombia,12.3883,-83.3328
Mahakam,6,0.0354,0.0263,0.0057,0.0726,Indonesia,-0.5725,130.7352
Mahaweli,12,0.0695,0.0267,0.043,0.1012,Sri Lanka,8.8745,90.3272
Main,6,0.0559,0.0205,0.0305,0.0845,Germany,64.1236,9.2301
Malaya Ob,6,0.0008,0.0004,0.0,0.001,Russia,90.0,73.1408
Mamberamo,6,0.0027,0.0016,0.001,0.005,Indonesia,-1.6413,153.5212
Mamoré,6,0.0032,0.0026,0.0,0.0076,Bolivia,-17.7682,-71.9834
Mananantanana,6,0.0484,0.0063,0.041,0.0558,Madagascar,-24.2743,50.8204
Manawatu,6,0.017,0.0119,0.0054,0.0383,New Zealand,-48.4112,180.0
Manganui,6,0.0149,0.0075,0.0064,0.0275,New Zealand,-42.7538,180.0
Mangoky,6,0.0357,0.011,0.0201,0.0499,Madagascar,-24.1404,48.471
Mania,6,0.0636,0.0216,0.0264,0.0873,Madagascar,-22.2577,50.5383
Manicouagan,12,0.0082,0.0048,0.0032,0.0171,Canada,62.9952,-76.1006
Maningory,12,0.0017,0.0004,0.0014,0.0022,Madagascar,-19.543,54.0977
Maputo,6,0.0876,0.0186,0.065,0.1079,South Africa,-30.0363,36.3788
Marañón,6,0.0279,0.0102,0.013,0.0408,Peru,-4.926,-81.8142
Markha,6,0.0029,0.0015,0.0014,0.0051,Russia,90.0,132.3376
Marne,6,0.0229,0.0089,0.0117,0.0373,France,62.1154,2.6819
Masi,6,0.1257,0.0457,0.0695,0.1671,Indonesia,-2.6185,116.9356
Mataura,6,0.0201,0.0156,0.0085,0.0453,New Zealand,-56.493,180.0
