river_name,country,date,current_speed_ms,u_ms,v_ms
Sartang,Russia,2024-08-31,0.0014142136295446348,0.0010000000474974513,0.0010000000474974513
Omolon,Russia,2024-08-31,0.0014142136295446348,0.0010000000474974513,0.0010000000474974513
Sapt,China,2024-08-31,,,
Min,China,2024-08-31,0.04414748169197301,-0.0430000014603138,0.010000000707805157
Lúrio,Mozambique,2024-08-31,0.0022360680837073196,0.0020000000949949026,0.0010000000474974513
Beni,Bolivia,2024-08-31,,,
Ituri,Democratic Republic of the Congo,2024-08-31,,,
Betsiboka,Madagascar,2024-08-31,0.092227984026529,0.015000000596046448,0.09100000560283661
Courantyne,Guyana,2024-08-31,,,
Mazoe,Zimbabwe,2024-08-31,0.018000001087784767,0.0,-0.018000001087784767
Sreng,Cambodia,2024-08-31,0.04140048317139224,-0.02500000037252903,0.032999999821186066
Tumbes,Ecuador,2024-08-31,0.013038405081479038,-0.013000000268220901,-0.0010000000474974513
Manas,Bhutan,2024-08-31,,,
Ou,Laos,2024-08-31,0.033241540122536425,-0.004000000189989805,0.032999999821186066
Fly,Papua New Guinea,2024-08-31,0.022847320983652226,0.021000001579523087,-0.009000000543892384
Kotto,Central African Republic,2024-08-31,,,
Gamka,South Africa,2024-08-31,0.10816654421520715,0.036000002175569534,-0.10200000554323196
Atrek,Iran,2024-08-31,,,
Buh,China,2024-08-31,,,
Kotuy,Russia,2024-08-31,0.0022360680837073196,0.0010000000474974513,0.0020000000949949026
Esil,Kazakhstan,2024-08-31,,,
Pur,Russia,2024-08-31,0.0010000000474974513,0.0,0.0010000000474974513
Katun,Russia,2024-08-31,,,
Baoulé,Mali,2024-08-31,,,
Vina,Cameroon,2024-08-31,,,
Lomami,Democratic Republic of the Congo,2024-08-31,,,
Gêba,Guinea,2024-08-31,,,
Mania,Madagascar,2024-08-31,0.057428217690426234,-0.032999999821186066,0.04700000211596489
Kabompo,Zambia,2024-08-31,,,
Save,Zimbabwe,2024-08-31,0.008485281447995555,0.006000000052154064,0.006000000052154064
Sokoto,Nigeria,2024-08-31,,,
Mariga,Nigeria,2024-08-31,,,
Jamanxim,Brazil,2024-08-31,,,
Atrato,Colombia,2024-08-31,0.009000000543892384,-0.009000000543892384,0.0
Iriri,Brazil,2024-08-31,,,
Cuyuni,Venezuela,2024-08-31,,,
Gurupi,Brazil,2024-08-31,,,
Amapari,Brazil,2024-08-31,,,
Doce,Brazil,2024-08-31,,,
Litani,France,2024-08-31,,,
Putumayo,Colombia,2024-08-31,,,
Huallaga,Peru,2024-08-31,0.03162277766192,0.026000000536441803,-0.018000001087784767
Essequibo,Guyana,2024-08-31,,,
Salado,Argentina,2024-08-31,,,
Guainía,Colombia,2024-08-31,,,
Velhas,Brazil,2024-08-31,,,
Bhima,India,2024-08-31,0.04052160018979367,-0.039000000804662704,0.01100000087171793
Tista,India,2024-08-31,,,
Kong,Laos,2024-08-31,0.01910497442930735,-0.0020000000949949026,0.01900000125169754
Jialing,China,2024-08-31,,,
Dong,China,2024-08-31,0.0,0.0,0.0
Yalong,China,2024-08-31,,,
Bajang,Malaysia,2024-08-31,0.007211102699710166,0.004000000189989805,0.006000000052154064
Nadym,Russia,2024-08-31,0.0010000000474974513,0.0,0.0010000000474974513
Mahakam,Indonesia,2024-08-31,0.005656854518178539,-0.004000000189989805,0.004000000189989805
Baliem,Indonesia,2024-08-31,0.07373602116698012,-0.0690000057220459,0.026000000536441803
Sittong,Myanmar,2024-08-31,0.03716181028324627,0.015000000596046448,0.03400000184774399
Pahang,Malaysia,2024-08-31,,,
You,China,2024-08-31,0.07600000500679016,0.0,0.07600000500679016
Mahi,India,2024-08-31,,,
Tapi,India,2024-08-31,,,
Sankh,India,2024-08-31,,,
Bei,China,2024-08-31,0.007280110123131064,-0.007000000216066837,0.0020000000949949026
Ussuri,Russia,2024-08-31,0.00538516517100502,0.005000000353902578,-0.0020000000949949026
Namhan,South Korea,2024-08-31,0.021377559913607787,-0.004000000189989805,0.021000001579523087
Bol’shaya Kuonamka,Russia,2024-08-31,0.0022360680837073196,0.0010000000474974513,0.0020000000949949026
Caledon,South Africa,2024-08-31,0.1105350697450295,-0.08300000429153442,-0.07300000637769699
Shebele,Ethiopia,2024-08-31,0.02332380884692313,-0.020000001415610313,-0.012000000104308128
Tugela,South Africa,2024-08-31,0.02220360435005984,0.018000001087784767,-0.013000000268220901
Penner,India,2024-08-31,0.01581138897821503,-0.015000000596046448,0.005000000353902578
Deseado,Argentina,2024-08-31,0.03733630992512484,-0.005000000353902578,0.03700000047683716
Ivindo,Gabon,2024-08-31,,,
Rufiji,United Republic of Tanzania,2024-08-31,0.12066897160901005,0.020000001415610313,0.11900000274181366
Shilka,Russia,2024-08-31,,,
Suriname,Suriname,2024-08-31,,,
Corantijn,Guyana,2024-08-31,,,
Gourits,South Africa,2024-08-31,0.07854935385334656,-0.07300000637769699,-0.029000001028180122
Pyasina,Russia,2024-08-31,0.0010000000474974513,0.0,0.0010000000474974513
Logone,Chad,2024-08-31,,,
Mbini,Equatorial Guinea,2024-08-31,,,
Maroni,Suriname,2024-08-31,,,
Yong,China,2024-08-31,0.14105673948753525,0.024000000208616257,0.13900001347064972
Brahmani,India,2024-08-31,,,
Sepik,Papua New Guinea,2024-08-31,0.054488533305491055,0.04000000283122063,0.03700000047683716
Aruwimi,Democratic Republic of the Congo,2024-08-31,,,
Linyanti,Botswana,2024-08-31,,,
Sobat,South Sudan,2024-08-31,,,
Srepok,Cambodia,2024-08-31,0.017262677415977826,-0.003000000026077032,0.017000000923871994
Yongding,China,2024-08-31,,,
Song’acha,China,2024-08-31,0.008944272334829279,-0.004000000189989805,0.00800000037997961
Ussuri,Russia,2024-08-31,,,
Ishim,Russia,2024-08-31,0.029068884739776785,0.029000001028180122,-0.0020000000949949026
Bani,Mali,2024-08-31,,,
Tsiribihina,Madagascar,2024-08-31,0.02624880996742758,-0.00800000037997961,0.02500000037252903
